date,brand,platform,handle,followers,likes_or_engagement,notes
2026-07-24,Mister Potato,Instagram,@misterpotato_my,25000,,
2026-07-24,Mister Potato,Facebook,Mister Potato Malaysia (misterpotatocrisps),,187005,page likes
2026-07-24,Mister Potato,TikTok,@misterpotatomy,8144,268100,live-read via browser; likes = cumulative total likes
2026-07-24,Mamee Monster,Instagram,@iammameemonster,21000,,
2026-07-24,Mamee Monster,TikTok,@iammameemonster,141800,868900,likes = cumulative total likes
2026-07-24,Mamee Monster,Facebook,Mamee Monster (mymameemonster),,48815,page likes
2026-07-24,Corntoz,Instagram,@corntozmalaysia,5474,,
2026-07-24,Corntoz,Facebook,Corntoz Pinko (corntozmy),,52128,page likes
2026-07-24,Corntoz,TikTok,@corntozmalaysia,18200,261800,live-read via browser; likes = cumulative total likes
2026-07-24,Mamee Noodles,Instagram,@mameenoodlesmy,19000,,
2026-07-24,Mamee Noodles,Facebook,MAMEE Noodles (mameenoodlesmy),,208927,page likes
2026-07-24,Mamee Noodles,TikTok,@mamee.my,49600,,handle corrected by user (posts via shared MAMEE Official account, not a dedicated @mameenoodlesmy account)
